FECHA_CORTE,FECHA_REGISTRO,ID_DOC_DENUNCIA,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_DE_DENUNCIA,SITUACION_DENUNCIA,TIPO,SUBTIPO,MODALIDAD,FECHA_HECHO,HORA_HECHO,UBICACION,DESCRIPCION,FECHA_NACIMIENTO,EDAD_PERSONA,SEXO,ESTADO_CIVIL,GRADO_INSTRUCCION,OCUPACION,PAIS_NATAL,MES,LONGITUD,LATITUD
2024-04-25,2024-02-26,4e35831afdd9aa1958807a7b32ea5b53a26aa74d1556d588e49dab26307147e3,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA FISICA,2024-02-26,2030,MZ D34 LOTE 15 BOCANEGRA,BOCANEGRA,1990-07-13,33,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.115782,-12.00502809
2024-04-25,2024-02-21,7ccf55ed76f62bc29e46f082caa7e57c289dc59bded9d8457fc5a9e39eb2a5f0,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-21,1400,MERCADO AYLLU PARADERO INCA HUASI PACHACUTEC,PACHACUTEC,1985-01-29,39,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.1545711,-11.8440269
2024-04-25,2024-02-10,fed71611056418d9ebbda0717e8252554c85b3b08f34fa4862b1ba655a8a1d33,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-10,200,LINEA FERREA 179,RAMON CASTILLA,1993-10-21,30,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.12611305,-12.05116387
2024-04-25,2024-02-20,7d920f96de74cf295cbbb4da54057db724c98421ffa0a1d3e7ac884ba28a9bfa,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA FISICA,2024-02-20,830,AGRUPACION CANADA MZ B LOTE 5,CALLAO,1985-06-06,38,MASCULINO,SOLTERO,NO INDICA,VIGILANTE,PERU,202402,-77.12948321,-11.95101866
2024-04-25,2024-02-23,060b191856ee7bf4feb80322d9c04ff36bbc99eaa7507563768f5cac95fb1ab2,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-23,1610,CALLE LAS GARZAS CUADRA 2 CALLAO,BOCANEGRA,1995-09-26,28,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.12538349,-12.05116387
2024-04-25,2024-02-25,57c0ea81739114f4a0132b5c2508ee00ad6b5ea02963f4f53eae0895322f8e38,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,RESUELTA,PATRIMONIO,HURTO,HURTO AGRAVADO EN CASA HABITADA,2024-02-24,1930,MZ. P LT. 14 - JR EL CONDOR NRO. 107 URB EL CONDOR - CALLAO,BOCANEGRA,1985-10-14,38,MASCULINO,SOLTERO,NO INDICA,OBRERO,PERU,202402,-77.0897995,-12.0135314
2024-04-25,2024-02-05,70dacb470985e386e3030322c4b37a11ebe7aaf97dc09edca47b8a1d367dc81e,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA FISICA,2024-02-04,2130,MZ. 2F LOTE 02 AAHH JOSE OLAYA  CALLAO,DULANTO,1992-12-01,31,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1071655,-12.0432759
2024-04-25,2024-02-14,7876e6243cb2c76fa403ce85c8e13f8e43798eb305937f74591f0bef70c58ba2,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,PATRIMONIO,HURTO,HURTO,2024-02-13,915,GOBIERNO REGIONAL DEL CALLAO,JUAN INGUNZA VALDIVIA,1970-12-13,53,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.12673532,-12.05105895
2024-04-25,2024-02-05,efc01282d9e7c69bb3dc2a612c74ae61d8bdd59a070876c5ca40c0cea1603e14,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,PATRIMONIO,HURTO,HURTO DE VEHICULO,2024-02-05,520,URB ALBINO HERRERA I ETAPA MZ E LOTE 21  CALLAO,JUAN INGUNZA VALDIVIA,1982-02-08,41,MASCULINO,SOLTERO,NO INDICA,CHOFER,PERU,202402,-77.093139,-12.0108032
2024-04-25,2024-02-05,606365c58e998e1a515023bb1207b63911bc25aa7b2dec1e16a939da898441ce,70101,CALLAO,CALLAO,CALLAO,OCURRENCIA,PENDIENTE,PATRIMONIO,HURTO,HURTO DE VEHICULO,2024-02-05,520,URB ALBINO HERRERA I ETAPA MZ E LOTE 21 CALLAO,JUAN INGUNZA VALDIVIA,1982-02-08,41,MASCULINO,SOLTERO,NO INDICA,CHOFER,PERU,202402,-77.093139,-12.0108032
